Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.,Gov - site de notícias,10/24/2022,"A Polícia Rodoviária Federal (PRF) apreendeu 168,7 kg de skunk, que motivou a prisão de dois homens por tráfico de drogas. A ação policial aconteceu no km 402 da BR 020, em Caucaia/CE, e é a maior apreensão desse tipo de entorpecente, realizada pela PRF no estado do Ceará, nos últimos 5 anos",PRF,caminhão-baú do tipo VW/8.120,"Caucaia. Droga veio de Belém/PA, com destino para Fortaleza.",Ceará,X,"168,7kg skunk",X,2 homens (de 38 e 35 anos),X,Sem informações (encontrado skunk em rodovia),https://globoplay.globo.com/v/11055936/,https://www.gov.br/prf/pt-br/noticias/estaduais/ceara/2022/outubro/201csupermaconha201d-prf-realiza-a-maior-apreensao-de-skunk-dos-ultimos-5-anos-no-ceara,,,
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.,Gov - site de notícias,10/24/2022,"A Polícia Rodoviária Federal (PRF) apreendeu 168,7 kg de skunk, que motivou a prisão de dois homens por tráfico de drogas. A ação policial aconteceu no km 402 da BR 020, em Caucaia/CE, e é a maior apreensão desse tipo de entorpecente, realizada pela PRF no estado do Ceará, nos últimos 5 anos",PRF,caminhão-baú do tipo VW/8.120,"Caucaia. Droga veio de Belém/PA, com destino para Fortaleza.",Ceará,X,"168,7kg skunk",X,2 homens (de 38 e 35 anos),X,Sem informações (encontrado skunk em rodovia),https://globoplay.globo.com/v/11055936/,https://www.gov.br/prf/pt-br/noticias/estaduais/ceara/2022/outubro/201csupermaconha201d-prf-realiza-a-maior-apreensao-de-skunk-dos-ultimos-5-anos-no-ceara,,,
PF destrói 130 mil pés de maconha em terra indígena no Pará,Agência Brasil - site de notícias,11/8/2022,"Cerca de 130 mil pés de maconha foram destruídos pela Polícia Federal (PF) durante a Operação Phaseoli, entre os dias 2 a 6 deste mês, no Pará. A plantação da erva estava espalhada pela Terra Indígena do Alto Rio Guamá e por terras da União e particulares, na região do município de Nova Esperança do Piriá, nordeste do estado.","PF, PMDF e Corpo de Bombeiros do Pará (Operação Phaseoli)",Rural,Nova Esperança do Piriá,Pará,Cerca de 130 mil,X,X,X,X,Ambos (Terra Indígena do Alto Rio Guamá e por terras da União e particulares),https://agenciabrasil.ebc.com.br/geral/noticia/2022-11/pf-destroi-130-mil-pes-de-maconha-em-terra-indigena-no-para,"As mudas de cannabis sativa que foram cortadas e queimadas equivalem a cerca de 40 toneladas de maconha, de acordo com a perícia da PF, que participou da operação.",1504950.0,Nova Esperança do Piriá,Pará
PF apreende mais de uma tonelada de maconha em municípios do Amazonas,G1 - site de notícias,11/16/2022,A Polícia Federal e apreendeu mais de uma tonelada de maconha durante ações em dois municípios no interior Amazonas. As operações contaram com o apoio da Companhia de Operações Especiais da Polícia Militar (COE-PMAM).,PF e COE-PMAM,Rural (interior do Amazonas),Novo Airão e Barcelos,Amazonas,X,435kg do tipo skunk em Novo Airão e 837kg do tipo skunk em Barcelos,X,4 homens em Barcelos,X,Sem informações (embarcação em Barcelos),https://g1.globo.com/am/amazonas/noticia/2022/11/16/pf-apreende-mais-de-uma-tonelada-de-maconha-em-municios-do-amazonas.ghtml,,1303205.0,Novo Airão,Amazonas
PF apreende mais de uma tonelada de maconha em municípios do Amazonas,G1 - site de notícias,11/16/2022,A Polícia Federal e apreendeu mais de uma tonelada de maconha durante ações em dois municípios no interior Amazonas. As operações contaram com o apoio da Companhia de Operações Especiais da Polícia Militar (COE-PMAM).,PF e COE-PMAM,Rural (interior do Amazonas),Novo Airão e Barcelos,Amazonas,X,435kg do tipo skunk em Novo Airão e 837kg do tipo skunk em Barcelos,X,4 homens em Barcelos,X,Sem informações (embarcação em Barcelos),https://g1.globo.com/am/amazonas/noticia/2022/11/16/pf-apreende-mais-de-uma-tonelada-de-maconha-em-municios-do-amazonas.ghtml,,1300409.0,Barcelos,Amazonas
VÍDEO: Flores de maconha são apreendidas no Pará,G1 - site de notícias,11/23/2022,"Uma caixa com flores de maconha foi apreendida em Parauapebas, no sudeste do Pará. A droga saiu da cidade de Palhoça, em Santa Catarina, e chegou ao sudeste do Pará por uma transportadora. Não houve prisão.",Divisão de vigilância e Repressão ao contrabando e descaminho da Receita Federal e encaminhado para a PF,Sem informações (transportadora),Parauapebas,Pará,X,100g de flores de maconha embaladas,X,X,X,Sem informações (plantio em SC),https://g1.globo.com/pa/para/noticia/2022/11/23/video-flores-de-maconha-sao-apreendidas-em-parauapebas-no-para.ghtml,"""A Flor de Canabis é a parte feminina da maconha e que possui maior concentração de THC, cultivada de maneira artesanal no Uruguai"", informou a Receita em nota.",1505536.0,Parauapebas,Pará
"PF e PM prendem seis pessoas durante apreensão de mais de 2 toneladas de maconha, no AM",G1 - site de notícias,1/24/2023,"Seis homens foram presos pelas polícias Federal e Militar, no interior do Amazonas, por suspeita de envolvimento com o tráfico de drogas. Durante a ação, foram apreendidas mais de 2 toneladas de drogas submersas na água, debaixo de um barco próximo ao município de Novo Airão.",PMAM e PF,Rural,Novo Airão,Amazonas,X,"2,1 toneladas",X,6 homens,,Sem informações (sendo investigado origem da maconha encontrada no barco),https://g1.globo.com/am/amazonas/noticia/2023/01/24/pf-e-pm-prendem-seis-pessoas-durante-apreensao-de-mais-de-2-toneladas-de-maconha-no-am.ghtml,"Ainda de acordo com a polícia, o destino das drogas seria Manaus. A origem dos entorpecentes está sendo investigada.",1303205.0,Novo Airão,Amazonas
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2609808.0,Orocó,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2615706.0,Triunfo,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2612208.0,Salgueiro,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2603009.0,Cabrobó,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2601607.0,Belém do São Francisco,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2601805.0,Betânia,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2605608.0,Flores,Pernambuco
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco,Pernambuco Notícias - Site de notícias,3/8/2024,"Desta vez foi concluída a Operação Terra Livre I de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2024 que compreendeu os dias 21/02 a 02/03, onde conseguiu-se erradicar e destruir cerca de 190 mil pés de maconha e destruição de 19 mil mudas que estavam em 34 plantios e apreensão de 71Kg de maconha pronta para o consumo. Os plantios foram localizados pela Polícia Federal em algumas ilhas dos Rio São Francisco e continente, na Região de Orocó/PE, Triunfo/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE, Carnaubeira da Penha/PE e Sertânia/PE e Dormentes/PE.","PF (Operação Terra Livre I), civis, militares (BEPI-Batalhão Especializado de Policiamento do Interior) e penais",Rural,"Orocó, Triunfo, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha, Sertânia, Dormentes",Pernambuco,Cerca de 190 mil pés e 19 mil mudas,71kg,X,X,X,Sem informações (várias regiões do Sertão Pernambucano),https://pernambuconoticias.com.br/policia-federal-erradica-mais-de-190-mil-pes-de-maconha-e-destroi-63-toneladas-da-droga-em-operacao-no-sertao-de-pernambuco/,,2603926.0,Carnaubeira da Penha,Pernambuco
